# page 750.000000x9377.000000
y=   80.8-   97.5 x=  668.5-  717.0 h= 16.6  menu
y=  243.0-  328.4 x=  142.8-  607.2 h= 85.4  Change your life
y=  313.8-  399.2 x=   28.9-  721.1 h= 85.4  with a personal session.
y=  434.5-  468.7 x=   78.7-  691.2 h= 34.2  運動が苦手な方に。健康なカラダを手に入れたい方に。
y=  480.5-  514.7 x=   91.2-  678.7 h= 34.2  パーソナルセッションなら、始めやすく続けやすい。
y= 1181.4- 1225.6 x=  191.4-  543.4 h= 44.2  しかも、スタジオ専門の
y= 4059.8- 4096.2 x=  470.7-  720.2 h= 36.4  表示金額は税込価格です
y= 4118.8- 4158.5 x=   83.8-  669.4 h= 39.7  ※キャンペーンは予告なく終了する場合がございます。
y= 4202.1- 4241.7 x=   45.7-  717.0 h= 39.6  ご入会には、まず体験セッションにご参加ください。
y= 4624.2- 4693.1 x=  145.9-  605.3 h= 68.9  ひとりひとりをきちんと見る
y= 4681.8- 4750.7 x=  145.3-  625.1 h= 68.9  専門性の高いセッション。
y= 4798.3- 4841.4 x=  100.0-  652.6 h= 43.1  followのパーソナルセッションは一般的なサービス
y= 4850.3- 4893.4 x=   95.6-  197.8 h= 43.1  と違い、
y= 4850.3- 4893.4 x=  184.5-  546.8 h= 43.1  おひとりでもペアでも受講可能。
y= 4850.3- 4893.4 x=  533.0-  651.3 h= 43.1  プランをご
y= 4902.3- 4945.4 x=  100.0-  654.2 h= 43.1  家族でシェアいただくこともできます。高い専門性と
y= 4954.3- 4997.4 x=  100.0-  512.2 h= 43.1  最新の姿勢管理システムを導入し、
y= 4954.3- 4997.4 x=  498.4-  651.5 h= 43.1  日々の変化を
y= 5006.3- 5049.4 x=   96.1-  653.6 h= 43.1  しっかりと記録し、個々にあったオーダーメイドセッ
y= 5058.3- 5101.4 x=   98.2-  561.5 h= 43.1  ションをプランニングさせていただきます。
y= 5324.3- 5377.4 x=  251.4-  494.6 h= 53.0  こ のような方に
y= 5420.2- 5449.6 x=   80.0-  670.0 h= 29.5  デスクワークでの 偏った姿 勢 、スマホに頼る生 活や重たい
y= 5468.2- 5497.6 x=   80.0-  670.0 h= 29.5  鞄を持 つ 習 慣の上 、運 動 不足 がちな 生 活 環 境 はボディラ
y= 5516.2- 5545.6 x=   80.0-  670.0 h= 29.5  インの崩 れ や 、悪 い 姿 勢 、寝 不足・倦 怠 感 などさまざまな
y= 5564.2- 5593.6 x=   80.0-  425.4 h= 29.5  カラダの不 調の要因を生みます。
y= 5687.7- 5727.5 x=  445.0-  615.5 h= 39.8  年齢を重ねた今
y= 5687.8- 5727.6 x=  139.3-  307.6 h= 39.8  運動を始めたい
y= 5733.6- 5773.4 x=  458.6-  602.0 h= 39.8  体重が増えて
y= 5733.8- 5773.5 x=  187.3-  259.6 h= 39.8  けれど
y= 5779.5- 5819.3 x=  442.3-  618.2 h= 39.8  痩せにくくなった
y= 5779.7- 5819.5 x=  141.4-  305.5 h= 39.8  キツイのは嫌だ
y= 5985.7- 6025.5 x=  448.1-  612.5 h= 39.8  肩こりや腰痛に
y= 5985.8- 6025.6 x=  162.9-  284.0 h= 39.8  不調なのは
y= 6031.6- 6071.4 x=  460.2-  600.3 h= 39.8  悩んでいるし
y= 6031.8- 6071.5 x=  126.7-  320.2 h= 39.8  骨の歪みなのかも
y= 6077.5- 6117.3 x=  446.2-  614.3 h= 39.8  疲れがとれない
y= 6077.7- 6117.5 x=  163.2-  283.7 h= 39.8  しれない…
y= 6273.2- 6330.7 x=  115.8-  642.2 h= 57.4  followのパーソナルセッションで
y= 6334.0- 6391.4 x=   49.2-  725.8 h= 57.4  健康的な美しい身体を手に入れませんか。
y= 6521.4- 6539.4 x=   85.3-  486.8 h= 18.0  followのパーソナルセッションで期待できるのは
y= 6540.9- 6609.7 x=   78.0-  463.2 h= 68.8  インナーマッスル強化
y= 6628.8- 6661.0 x=   86.0-  504.0 h= 32.2  姿勢を維持するために必要なインナー
y= 6672.8- 6705.0 x=   86.0-  504.0 h= 32.2  マッスルを鍛えます。また、代謝が上が
y= 6716.8- 6748.9 x=   86.0-  458.0 h= 32.2  り、脂肪燃焼効果も期待できます。
y= 6811.4- 6829.4 x=   63.3-  464.8 h= 18.0  followのパーソナルセッションで期待できるのは
y= 6830.9- 6899.7 x=   56.8-  434.0 h= 68.8  ゆがんだ姿勢の改善
y= 6919.8- 6952.0 x=   64.0-  526.0 h= 32.2  歪んだ背骨や骨盤を本来の位置に戻し、
y= 6965.8- 6998.0 x=   64.0-  502.0 h= 32.2  姿勢が改善することで、肩こりや腰痛な
y= 7011.8- 7044.0 x=   64.0-  526.1 h= 32.2  ども解消しアンチエイジングにも効果的。
y= 7103.4- 7121.4 x=  115.3-  516.8 h= 18.0  followのパーソナルセッションで期待できるのは
y= 7122.9- 7191.7 x=  110.4-  462.0 h= 68.8  冷えやむくみの改善
y= 7203.8- 7236.0 x=  112.0-  511.8 h= 32.2  固まった筋肉をほぐしていくことで
y= 7249.8- 7282.0 x=  112.0-  511.9 h= 32.2  新陳代謝がよくなり、冷えや手足など
y= 7295.8- 7328.0 x=  112.0-  472.0 h= 32.2  のむくみの改善にも貢献します！
y= 7480.1- 7544.2 x=   29.4-  178.3 h= 64.2  その他、
y= 7480.1- 7544.2 x=  155.9-  724.4 h= 64.2  こんなリクエストにも対応可能です！
y= 7572.2- 7608.6 x=   99.8-  187.8 h= 36.4  体幹強化
y= 7572.2- 7608.6 x=  299.7-  397.9 h= 36.4  柔軟性UP
y= 7572.2- 7608.6 x=  507.5-  649.7 h= 36.4  バランス力UP
y= 7633.2- 7669.6 x=   85.9-  217.9 h= 36.4  ボディメイク
y= 7633.2- 7669.6 x=  346.9-  434.9 h= 36.4  姿勢矯正
y= 7633.2- 7669.6 x=  568.3-  656.3 h= 36.4  歪み矯正
y= 7696.4- 7732.8 x=  100.6-  188.6 h= 36.4  疲労回復
y= 7696.4- 7732.8 x=  305.4-  393.4 h= 36.4  痛み改善
y= 7696.4- 7732.8 x=  505.5-  615.5 h= 36.4  ダイエット
y= 7700.9- 7743.3 x=  653.6-  700.9 h= 42.4  etc.
y= 7835.0- 7885.2 x=  336.3-  414.1 h= 50.2  さらに
y= 7871.1- 7921.8 x=  317.6-  436.3 h= 50.7  follow なら
y= 7985.0- 8049.2 x=   78.0-  678.0 h= 64.2  駅チカの好立地だから、通いやすい！
y= 8342.0- 8376.8 x=  134.9-  287.8 h= 34.8  日中に時間の
y= 8343.2- 8378.0 x=  443.8-  626.1 h= 34.8  リモートワークで
y= 8386.0- 8420.8 x=  148.6-  278.2 h= 34.8  余裕がある
y= 8387.2- 8422.0 x=  414.5-  657.2 h= 34.8  カラダが固まりがち…
y= 8430.0- 8464.8 x=  113.3-  324.7 h= 34.8  専業主婦の方に。
y= 8431.2- 8466.0 x=  447.5-  634.9 h= 34.8  リフレッシュに。
y= 8793.2- 8828.0 x=  457.5-  635.0 h= 34.8  お勤め帰りに。
y= 8793.2- 8828.0 x=  114.5-  323.5 h= 34.8  子育ての合間に。
y= 8837.1- 8872.0 x=  413.2-  668.5 h= 34.8  気軽に立ち寄れるから
y= 8837.2- 8872.0 x=  150.6-  275.7 h= 34.8  ママだって
y= 8881.1- 8916.0 x=  470.9-  622.3 h= 34.8  運動が続く。
y= 8881.2- 8916.0 x=  108.9-  327.8 h= 34.8  キレイになりたい。
y= 9057.1- 9104.4 x=  159.8-  471.1 h= 47.3  カラダに不調を感じる方、
y= 9057.1- 9104.4 x=  456.6-  591.5 h= 47.3  ダイエットや
y= 9117.1- 9164.4 x=   66.1-  697.5 h= 47.3  シェイプアップをしたい方、健康習慣を始めたい方に、
y= 9177.1- 9224.4 x=   30.5-  735.1 h= 47.3  豊洲駅から徒歩1分のfollowなら、通うのも億劫にならない。
y= 9237.1- 9284.4 x=  132.9-  628.5 h= 47.3  しかも夢中になるプログラムもラインナップ。
