# page 750.000000x9353.000000
y=   50.1-   89.7 x=  165.0-  611.6 h= 39.6  まずは体験にご参加ください！
y=  165.2-  224.4 x=  233.0-  508.6 h= 59.1  はじめての方限定
y=  295.4-  438.6 x=  257.6-  280.8 h=143.2  ,
y=  298.8-  442.0 x=  212.4-  664.5 h=143.2  8 800 体験できます
y=  348.4-  406.0 x=  414.0-  448.1 h= 57.6  で
y=  352.3-  421.5 x=   66.8-  216.5 h= 69.3  （45分） ￥
y=  425.3-  520.8 x=  595.7-  627.3 h= 95.5  w
y=  427.2-  522.7 x=  573.3-  595.7 h= 95.5  o
y=  428.4-  523.9 x=  558.5-  573.3 h= 95.5  l
y=  429.7-  525.2 x=  543.6-  558.5 h= 95.5  l
y=  431.6-  527.1 x=  521.2-  543.6 h= 95.5  o
y=  432.9-  528.4 x=  505.2-  521.2 h= 95.5  f
y=  436.8-  532.4 x=  458.6-  474.0 h= 95.5  t
y=  439.0-  534.5 x=  432.9-  458.6 h= 95.5  a
y=  442.1-  537.6 x=  396.7-  417.3 h= 95.5  s
y=  443.9-  539.4 x=  375.2-  396.7 h= 95.5  e
y=  445.2-  540.7 x=  359.8-  375.2 h= 95.5  t
y=  447.3-  542.9 x=  334.1-  359.8 h= 95.5  a
y=  448.6-  544.1 x=  319.2-  334.1 h= 95.5  l
y=  449.9-  545.4 x=  304.2-  319.2 h= 95.5  i
y=  455.0-  559.4 x=  138.2-  304.2 h=104.4  Try P
y=  527.5-  562.8 x=  100.4-  660.1 h= 35.3  fol l o wのパーソナルセッションをぜひ、ご体感ください。
y=  594.2-  633.5 x=  217.3-  492.9 h= 39.3  体験セッションを予約する
y=  752.8-  827.0 x=  310.8-  438.3 h= 74.2  体験フロー
y=  883.1-  957.3 x=  175.9-  539.2 h= 74.2  以下のボタンからWEB 予 約を
y=  918.6-  981.5 x=   67.8-  104.3 h= 62.8  01
y=  925.1-  999.3 x=  173.8-  355.5 h= 74.2  してください。
y= 1067.1- 1097.9 x=  134.1-  392.1 h= 30.8  体験セッションを予約する
y= 2880.1- 2954.3 x=  179.8-  621.4 h= 74.2  タブレットの指 示に従いセッションの
y= 2922.1- 2996.3 x=  180.1-  565.1 h= 74.2  チェックインを行ってください。
y= 3288.1- 3353.8 x=  277.5-  469.6 h= 65.6  当日のお持ちもの
y= 3370.4- 3402.5 x=   28.4-  731.4 h= 32.2  ■ 運きやすい服装またはヨガウェア （更衣室で着替えていただけます）
y= 3414.4- 3446.5 x=   28.4-  127.6 h= 32.2  □ タオル
y= 3414.4- 3446.5 x=  152.9-  377.8 h= 32.2  □ お水などの飲み物
y= 3414.4- 3446.5 x=  403.2-  521.0 h= 32.2  □ ソックス
y= 3414.4- 3446.5 x=  508.4-  701.7 h= 32.2  （滑り止め推奨）
y= 3617.1- 3691.3 x=  180.6-  510.1 h= 74.2  ロッカー完 備の更 衣 室にて
y= 3649.1- 3712.0 x=   83.8-  120.4 h= 62.8  03
y= 3659.1- 3733.3 x=  179.7-  632.2 h= 74.2  スポーツウェアに着替えてください。
y= 4135.1- 4209.3 x=  181.0-  617.0 h= 74.2  準備が整ったらセッションスタート！
y= 4160.6- 4223.4 x=   74.8-  111.3 h= 62.8  04
y= 4205.1- 4279.3 x=  180.0-  683.9 h= 74.2  インストラクターが丁寧にサポートするので
y= 4247.1- 4321.3 x=  181.0-  670.6 h= 74.2  初めての方も安心してトライいただけます。
y= 4766.6- 4840.8 x=  187.5-  545.3 h= 74.2  体験後は 施 設 内のラウンジで
y= 4794.6- 4857.5 x=   82.3-  118.9 h= 62.8  05
y= 4808.6- 4882.8 x=  186.9-  422.3 h= 74.2  お過ごしください。
y= 5074.6- 5148.8 x=  186.9-  514.7 h= 74.2  お客さまの今後についての
y= 5116.6- 5190.8 x=  186.9-  563.6 h= 74.2  お話もおうかがいいたします。
y= 5362.5- 5399.3 x=   70.7-  707.7 h= 36.8  マシンピラティスで健康なカラダを手に入れましょう。
y= 5375.8- 5538.0 x=  113.4-  639.6 h=162.2  follow Start
y= 5459.8- 5622.0 x=  131.0-  621.9 h=162.2  Campaign!
y= 5656.2- 5697.3 x=  207.6-  579.9 h= 41.1  体 験と同 時 に ご 入 会 で！
y= 5679.4- 5897.8 x=  414.0-  685.5 h=218.3  無料
y= 5766.2- 5811.5 x=   62.0-  396.9 h= 45.2  入 会 金 （通常11,000円）
y= 5855.9- 6074.3 x=  414.5-  686.0 h=218.3  無料
y= 5944.7- 5990.0 x=   62.5-  417.9 h= 45.2  事務手数料 （通常5,500円）
y= 6051.8- 6088.2 x=  470.7-  720.2 h= 36.4  表示金額は税込価格です
y= 6110.8- 6150.5 x=   83.8-  669.4 h= 39.7  ※キャンペーンは予告なく終了する場合がございます。
y= 6194.1- 6233.7 x=   45.7-  717.0 h= 39.6  ご入会には、まず体験セッションにご参加ください。
y= 6427.6- 6521.9 x=  103.8-  656.2 h= 94.2  Personal Plan
y= 6540.6- 6576.5 x=  154.0-  608.0 h= 35.9  followのパーソナルプランは3種類
y= 6588.6- 6624.6 x=  253.6-  508.4 h= 35.9  ご用意しております
y= 6766.2- 6831.9 x=  204.5-  546.2 h= 65.7  サブスクプラン
y= 6828.0- 6896.5 x=  117.0-  636.0 h= 68.5  follow会員様が一番おトクに継続できるプラン
y= 6869.4- 7005.3 x=  320.9-  556.3 h=135.9  38,000
y= 6911.1- 6953.1 x=  573.5-  594.5 h= 42.0  税込
y= 6921.0- 6987.3 x=  299.3-  320.9 h= 66.3  ¥
y= 6922.3- 6981.3 x=  167.2-  262.6 h= 59.0  月4回
y= 6973.0- 7035.8 x=  331.4-  589.1 h= 62.8  （1回あたり約9,500円）
y= 7018.4- 7086.9 x=  274.0-  476.0 h= 68.5  ★60日間繰越可能
y= 7055.4- 7123.9 x=  149.9-  600.1 h= 68.5  ★ご家族の共有利用可能・シセイカルテ付
y= 7203.2- 7268.9 x=  225.4-  524.6 h= 65.7  回数 券プラン
y= 7279.2- 7347.7 x=  111.6-  659.8 h= 68.5  follow会員様が気軽にパーソナルを受講できるプラン
y= 7355.4- 7491.3 x=  336.9-  572.3 h=135.9  44,000
y= 7397.1- 7439.1 x=  585.5-  606.5 h= 42.0  税込
y= 7402.3- 7461.3 x=  167.2-  262.6 h= 59.0  月4回
y= 7407.0- 7473.3 x=  307.3-  328.9 h= 66.3  ¥
y= 7455.0- 7517.8 x=  319.6-  591.1 h= 62.8  （1回あたり約11,000円）
y= 7493.6- 7562.1 x=  273.8-  476.2 h= 68.5  ★90日間繰越可能
y= 7569.4- 7705.3 x=  324.9-  560.3 h=135.9  24,000
y= 7609.3- 7668.3 x=  167.2-  262.6 h= 59.0  月2回
y= 7611.1- 7653.1 x=  573.5-  594.5 h= 42.0  税込
y= 7621.0- 7687.3 x=  295.3-  316.9 h= 66.3  ¥
y= 7671.0- 7733.8 x=  319.6-  591.1 h= 62.8  （1回あたり約12,000円）
y= 7707.6- 7776.1 x=  274.0-  476.0 h= 68.5  ★60日間繰越可能
y= 7794.4- 7862.9 x=  149.9-  600.1 h= 68.5  ★ご家族の共有利用可能・シセイカルテ付
y= 7948.2- 8013.9 x=  271.8-  478.2 h= 65.7  単発受講
y= 8019.2- 8087.7 x=  304.9-  461.1 h= 68.5  follow会員様
y= 8051.4- 8187.3 x=  346.2-  538.9 h=135.9  9,500
y= 8093.1- 8135.1 x=  558.5-  579.5 h= 42.0  税込
y= 8099.6- 8159.9 x=  183.0-  247.4 h= 60.2  1回
y= 8103.0- 8169.3 x=  316.6-  338.2 h= 66.3  ¥
y= 8173.4- 8241.9 x=   84.8-  677.2 h= 68.5  ★ご家族の共有利用不可・シセイカルテは付きません。
y= 8337.9- 8470.5 x=  385.6-  625.2 h=132.6  11,000
y= 8359.1- 8467.5 x=  150.9-  270.6 h=108.5  入会金
y= 8373.8- 8416.3 x=  641.4-  662.6 h= 42.5  税込
y= 8386.6- 8449.1 x=  364.3-  384.7 h= 62.5  ¥
y= 8481.9- 8614.5 x=  429.2-  625.2 h=132.6  3,300
y= 8505.1- 8613.5 x=  150.9-  270.6 h=108.5  年会費
y= 8516.8- 8559.3 x=  644.4-  665.6 h= 42.5  税込
y= 8530.6- 8593.1 x=  401.3-  421.7 h= 62.5  ¥
y= 8600.8- 8640.6 x=  154.0-  625.6 h= 39.9  初年度は無料。 入会の翌年度から発生します
y= 8667.8- 8800.4 x=  429.2-  625.2 h=132.6  5,500
y= 8690.1- 8798.5 x=  110.1-  311.5 h=108.5  事務手数料
y= 8705.8- 8748.3 x=  641.4-  662.6 h= 42.5  税込
y= 8716.0- 8780.1 x=  400.6-  421.5 h= 64.1  ¥
y= 8797.9- 8930.5 x=  429.2-  625.2 h=132.6  1,100
y= 8817.1- 8925.5 x=  150.9-  270.6 h=108.5  休会費
y= 8833.8- 8876.3 x=  641.4-  662.6 h= 42.5  税込
y= 8846.6- 8909.1 x=  401.3-  421.7 h= 62.5  ¥
y= 8981.9- 9114.5 x=  425.6-  655.2 h=132.6  15,000
y= 8987.3- 9095.8 x=   78.0-  354.1 h=108.5  ビジターチケット
y= 9017.8- 9060.3 x=  674.4-  695.6 h= 42.5  税込
y= 9030.6- 9093.1 x=  405.2-  425.6 h= 62.5  ¥
y= 9042.4- 9110.9 x=  286.2-  351.4 h= 68.5  1回券
y= 9106.7- 9181.5 x=  357.5-  553.1 h= 74.8  購入から30日間
y= 9111.1- 9185.8 x=  193.6-  304.2 h= 74.8  有効期限
y= 9225.4- 9285.4 x=   49.3-  709.8 h= 60.0  有効期限の延長及び払い戻しはいかなる場合でも受付ができかねます。
